SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
MF,ABSLFTPIRQ,BIRLASLAMC - ABSLFTPIRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTPIDQ,BIRLASLAMC - ABSLFTPIDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQHRQ,BIRLASLAMC - ABSLFTQHRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQHDQ,BIRLASLAMC - ABSLFTQHDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQIRQ,BIRLASLAMC - ABSLFTQIRQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MF,ABSLFTQMDQ,BIRLASLAMC - ABSLFTQMDQ,28/12/2020, , ,24/12/2020, , ,DIVIDEND                 
MH,SRTRANSFIN,Sec Red NCD 8.93% Sr. I,27/12/2020, , ,18/12/2020,18/12/2020,24/12/2020,INTEREST PAYMENT         
MI,SRTRANSFIN,Sec Red NCD 9.03% Sr. II,27/12/2020, , ,18/12/2020,18/12/2020,24/12/2020,INTEREST PAYMENT         
N1,TATACAPHSG,Sec Red NCD 8% Sr.I,30/12/2020, , ,29/12/2020, , ,INTEREST PAYMENT         
N1,NHBTF2014,BOND 8.26%PA TF Tr-I S1A,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
N2,NHBTF2014,BOND 8.63%PA TF Tr-I S 2A,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
N2,TATACAPHSG,Sec Red NCD 8.10% Sr.I,30/12/2020, , ,29/12/2020, , ,INTEREST PAYMENT         
N3,NHBTF2014,BOND 8.76%PA TF Tr-I S 3A,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
N3,DHANILOANS,Dhani Loans & Serv Ltd,24/12/2020, , ,23/12/2020, , ,INTEREST PAYMENT         
N3,TATACAPHSG,Sec Red NCD 7.92% Sr.II,30/12/2020, , ,29/12/2020, , ,INTEREST PAYMENT         
N4,TATACAPHSG,Sec Red NCD 8.01% Sr.II,30/12/2020, , ,29/12/2020, , ,INTEREST PAYMENT         
N4,NHBTF2014,BOND 8.51%PA TF Tr-I S1B,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
N5,TATACAPHSG,Sec Red NCD 8.20% Sr.III,30/12/2020, , ,29/12/2020, , ,INTEREST PAYMENT         
N5,EHFLNCD,Sec Red NCD 9.57% Sr. V,25/12/2020, , ,23/12/2020, , ,INTEREST PAYMENT         
N5,NHBTF2014,BOND 8.88%PA TF Tr-I S 2B,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
N6,TATACAPHSG,Sec Red NCD 8.30% Sr.III,30/12/2020, , ,29/12/2020, , ,INTEREST PAYMENT         
N6,DHANILOANS,Dhani Loans & Serv Ltd,24/12/2020, , ,23/12/2020, , ,INTEREST PAYMENT         
N6,NHBTF2014,BOND 9.01%PA TF Tr-I S 3B,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
N7,IBUCCREDIT,SeReNCD8.66%SrIVCIII&IV,11/01/2021, , ,08/01/2021, , ,INTEREST PAYMENT         
N7,TATACAPHSG,Sec Red NCD 8.01% Sr.IV,30/12/2020, , ,29/12/2020, , ,INTEREST PAYMENT         
N8,IBULHSGFIN,Sec Red NCD 8.65% Sr. V,16/01/2021, , ,14/01/2021, , ,INTEREST PAYMENT         
N8,TATACAPHSG,Sec Red NCD 8.10% Sr.IV,30/12/2020, , ,29/12/2020, , ,INTEREST PAYMENT         
N9,TATACAPHSG,Sec Red NCD 8.30% Sr.V,30/12/2020, , ,29/12/2020, , ,INTEREST PAYMENT         
NA,TATACAPHSG,Sec Red NCD 8.40% Sr.V,30/12/2020, , ,29/12/2020, , ,INTEREST PAYMENT         
NA,IBUCCREDIT,SeReNCD8.75%SrVICI&II,11/01/2021, , ,08/01/2021, , ,INTEREST PAYMENT         
NB,IBUCCREDIT,SeReNCD8.84%SrVICIII&IV,11/01/2021, , ,08/01/2021, , ,INTEREST PAYMENT         
NB,TATACAPHSG,Un Se Re NCD 8.55% Sr.VI,30/12/2020, , ,29/12/2020, , ,INTEREST PAYMENT         
NC,HUDCO,8.58% Tax FreeTrII Sr2A,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
NC,IBULHSGFIN,Uns Red NCD 8.79% Sr.VIII,16/01/2021, , ,14/01/2021, , ,INTEREST PAYMENT         
ND,L&TFINANCE,L&T Finance Limited,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
NE,HUDCO,9.01% Tax FreeTrII Sr3B,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
NE,L&TFINANCE,L&T Finance Limited,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
NH,L&TFINANCE,L&T Finance Limited,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
NI,L&TFINANCE,L&T Finance Limited,29/12/2020, , ,28/12/2020, , ,INTEREST PAYMENT         
