MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N8,IBULHSGFIN,SEC RED NCD 8.65% SR. V,       878.50,       878.50,       878.50,       878.50,       878.50,                    13177.50,15, ,2,       960.00,       655.10
N,N8,IRFC,BOND 8.40% PA TF TI-SIIA,      1320.00,      1580.00,      1580.00,      1550.00,      1550.00,                     3130.00,2, ,2,      1589.80,      1140.00
N,N8,L&TFINANCE,SE RE NCD 9.1% SR.I OP II,      1095.00,      1098.95,      1098.95,      1098.95,      1098.95,                     5494.75,5, ,1,      1255.01,       901.00
N,N8,NHAI,TAX FREE7.39% SR.IB,      1175.10,      1180.00,      1195.00,      1180.00,      1195.00,                   143100.00,120, ,2,      1299.00,       925.60
N,N8,PFC,8.92% TAX FREE NCD,      1426.50,      1421.00,      1429.99,      1418.00,      1429.99,                   356188.80,250, ,23,      1520.00,      1242.00
N,N8,TATACAPHSG,SEC RED NCD 8.10% SR.IV,      1051.71,      1095.00,      1095.00,      1089.00,      1089.00,                    54530.00,50, ,5,      1287.00,       950.00
N,N9,HUDCO,7.69% TAX FREETRII SR2B,      1250.26,      1250.25,      1250.25,      1249.00,      1249.00,                   612296.50,490, ,4,      1400.00,      1080.00
N,N9,IDFCFIRSTB,BOND 9% 2021 TR-1 SR-I,      5079.99,      5020.00,      5072.00,      5020.00,      5072.00,                    35292.00,7, ,4,      5554.95,      4670.01
N,N9,IIFL,SEC RED NCD 9.50 % SR. II,      1002.20,      1001.00,      1008.00,      1000.90,      1003.69,                   104521.10,104, ,7,      1057.00,       845.60
N,N9,RECLTD,BOND 8.71% TAX FREE S2B,      1280.00,      1280.00,      1280.00,      1279.00,      1279.50,                  1510200.00,1180, ,8,      1363.75,      1100.00
N,NA,DHFL,SEC RED NCD 9.25% SR. 5B,       380.00,       370.00,       370.00,       340.00,       340.00,                    47800.00,137, ,4,       420.00,       180.00
N,NA,IBULHSGFIN,SEC RED NCD 9.0% SR. VI,       800.00,       794.79,       796.70,       794.79,       796.65,                    51764.15,65, ,6,       868.00,       451.00
N,NA,IDFCFIRSTB,BOND 0% 2021 TR-1 SR-II,     10951.00,     10905.01,     10951.00,     10905.01,     10951.00,                   240452.11,22, ,9,     10951.00,      7900.00
N,NA,IRFC,BOND 8.65% PA TF TI-SIIB,      1363.00,      1361.99,      1361.99,      1350.00,      1350.00,                   141587.01,104, ,2,      1530.00,      1075.20
N,NA,L&TFINANCE,SE RE NCD SR.II OPII,      1181.01,      1178.01,      1178.01,      1177.00,      1178.00,                   303774.50,258, ,16,      1198.00,      1000.00
N,NA,NHAI,TAX FREE7.60% SR.IIB,      1286.05,      1286.00,      1286.00,      1285.00,      1285.00,                    25710.00,20, ,2,      1301.00,      1103.00
N,NA,RECLTD,BOND 8.62% TAX FREE S3B,      1390.00,      1358.00,      1388.00,      1357.00,      1388.00,                   363263.00,266, ,4,      1559.00,      1250.00
N,NA,TCFSL,SERENCD8.70%SRICI&II,      1120.00,      1010.00,      1060.00,      1010.00,      1060.00,                    63100.00,60, ,2,      1127.25,       895.00
N,NB,DHANILOANS,DHANI LOANS & SERV LTD,       888.08,      1035.00,      1035.00,      1035.00,      1035.00,                    93150.00,90, ,1,      1080.00,       733.00
N,NB,IIFL,SEC RED NCD 9.85 % SR. IV,      1077.20,      1012.00,      1077.50,      1011.60,      1077.50,                     4178.60,4, ,3,      1077.50,      1011.60
N,NB,TCFSL,SERENCD8.80%SRICIII&IV,      1031.52,      1031.11,      1033.82,      1030.13,      1032.07,                   463086.83,449, ,19,      1108.00,       867.40
N,NC,DHANILOANS,DHANI LOANS & SERV LTD,       994.00,      1000.00,      1000.00,      1000.00,      1000.00,                    16000.00,16, ,2,      1000.00,       721.05
N,NC,DHFL,SEC RED NCD 9.30% SR. 6B,       354.00,       356.00,       356.00,       356.00,       356.00,                      712.00,2, ,2,       379.75,       117.00
N,NC,IDFCFIRSTB,BOND 0% 2022 TR-2 SR-II,     10438.00,     10438.00,     10438.00,     10438.00,     10438.00,                    10438.00,1, ,1,     10765.05,      8500.00
N,NC,L&TFINANCE,SERENCD 9.25% SR.III OPII,      1125.00,      1140.00,      1140.00,      1140.00,      1140.00,                   342000.00,300, ,7,      1185.00,       932.00
N,ND,HUDCO,8.76% TAX FREETRI SR2B,      1295.00,      1295.00,      1297.80,      1295.00,      1297.80,                   453530.00,350, ,2,      1498.00,      1170.00
N,ND,IDFCFIRSTB,BOND 8.43% 2022 TR-3 SR-I,      5271.00,      5201.06,      5270.00,      5201.06,      5270.00,                    41884.24,8, ,2,      5890.00,      4261.01
N,ND,NTPC,TFB 7.62% 2035 SR. 3B,      1349.91,      1325.00,      1325.00,      1325.00,      1325.00,                   208025.00,157, ,2,      1568.00,      1143.60
N,ND,TCFSL,SERENCD8.90%SRIICIII&IV,      1095.45,      1095.01,      1103.71,      1095.01,      1103.50,                   585517.60,531, ,12,      1152.00,       962.00
N,NE,ECLFINANCE,SEC RED NCD SR. I,      1220.00,      1227.00,      1227.00,      1227.00,      1227.00,                     4908.00,4, ,1,      1240.00,       643.01
